number,id,video,img,match,NOTES,debug,type,note,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,text_inst.started,key_resp_inst.started,key_resp_inst.keys,key_resp_inst.rt,text.started,fixate_middle.started,text.stopped,fixate_middle.stopped,movie.started,Goal_reached.started,key_resp.started,key_resp.keys,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,3.9074480533599854,3.9074480533599854,space,0.9487869739532471,,,,,,,,,,make up a name,001,2023-03-31_10h02.05.156,meta_vpr,2022.2.5,60.12614968233217,
101,432,../recordings/100/vid.mp4,None,0,"new, old",mismatch,practice,PRACTICE: These are 'different' places,0,0,0,0,,,,,4.961358070373535,5.380022048950195,5.4635350704193115,5.96696400642395,5.96696400642395,14.871747970581055,14.871747970581055,y,1.4244379997253418,make up a name,001,2023-03-31_10h02.05.156,meta_vpr,2022.2.5,60.12614968233217,
102,52,../recordings/150/vid.mp4,None,1,"new, old",match,practice,PRACTICE: These are the 'same' place,0,1,1,1,,,,,16.32001495361328,16.804583072662354,16.820430994033813,17.35539412498474,17.35539412498474,26.359133005142212,26.359133005142212,n,1.5210561752319336,make up a name,001,2023-03-31_10h02.05.156,meta_vpr,2022.2.5,60.12614968233217,
None,None,../recordings/200/vid.mp4,None,None,None,None,None,None,0,2,2,2,,,,,27.89839005470276,28.382808923721313,28.39947199821472,28.947027921676636,28.947027921676636,37.88787007331848,37.88787007331848,y,0.8403089046478271,make up a name,001,2023-03-31_10h02.05.156,meta_vpr,2022.2.5,60.12614968233217,
None,None,../recordings/250/vid.mp4,None,None,None,None,None,None,0,3,3,3,,,,,38.756134033203125,39.24233889579773,39.25892090797424,,39.80947995185852,48.784828901290894,48.784828901290894,n,0.8555500507354736,make up a name,001,2023-03-31_10h02.05.156,meta_vpr,2022.2.5,60.12614968233217,
None,None,../recordings/300/vid.mp4,None,None,None,None,None,None,0,4,4,4,,,,,49.66461992263794,50.14810490608215,50.16523504257202,50.70052790641785,50.70052790641785,59.70420002937317,59.70420002937317,y,1.4239838123321533,make up a name,001,2023-03-31_10h02.05.156,meta_vpr,2022.2.5,60.12614968233217,
None,None,../recordings/350/vid.mp4,None,None,None,None,None,None,0,5,5,5,,,,,61.16015911102295,61.64371109008789,61.661142110824585,,62.20520496368408,71.18491697311401,71.18491697311401,y,1.591264009475708,make up a name,001,2023-03-31_10h02.05.156,meta_vpr,2022.2.5,60.12614968233217,
None,None,../recordings/400/vid.mp4,None,None,None,None,None,None,0,6,6,6,,,,,72.80295205116272,73.3003659248352,73.3173680305481,73.85266399383545,73.85266399383545,82.79158401489258,82.79158401489258,y,0.6886799335479736,make up a name,001,2023-03-31_10h02.05.156,meta_vpr,2022.2.5,60.12614968233217,
None,None,../recordings/450/vid.mp4,None,None,None,None,None,None,0,7,7,7,,,,,83.51165890693665,83.99554300308228,84.01229000091553,84.56846690177917,84.56846690177917,93.54728507995605,93.54728507995605,n,0.7489612102508545,make up a name,001,2023-03-31_10h02.05.156,meta_vpr,2022.2.5,60.12614968233217,
,,,,,,,,,,,,,,,,,94.31785798072815,94.80191397666931,94.82197594642639,,,,,,,,,,,,,
