number,id,video,img,match,NOTES,debug,type,note,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,text_inst.started,key_resp_inst.started,key_resp_inst.keys,key_resp_inst.rt,text.started,fixate_middle.started,text.stopped,fixate_middle.stopped,movie.started,Goal_reached.started,key_resp.started,key_resp.keys,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,3.6989288330078125,3.6989288330078125,space,1.1180458068847656,,,,,,,,,,make up a name,001,2023-03-31_10h04.10.244,meta_vpr,2022.2.5,59.98512636866012,
101,432,../recordings/100/vid.mp4,None,0,"new, old",mismatch,practice,PRACTICE: These are 'different' places,0,0,0,0,,,,,4.931546926498413,5.345366954803467,5.429965019226074,5.918291807174683,5.918291807174683,7.875185012817383,7.875185012817383,y,1.6937248706817627,make up a name,001,2023-03-31_10h04.10.244,meta_vpr,2022.2.5,59.98512636866012,
102,52,../recordings/150/vid.mp4,None,1,"new, old",match,practice,PRACTICE: These are the 'same' place,0,1,1,1,,,,,9.601528882980347,10.08541488647461,10.102296829223633,10.660177946090698,10.660177946090698,12.608392000198364,12.608392000198364,y,1.7925848960876465,make up a name,001,2023-03-31_10h04.10.244,meta_vpr,2022.2.5,59.98512636866012,
None,None,../recordings/200/vid.mp4,None,None,None,None,None,None,0,2,2,2,,,,,14.422757863998413,14.905627012252808,14.922247886657715,15.465378999710083,15.465378999710083,17.433441877365112,17.433441877365112,n,0.8234860897064209,make up a name,001,2023-03-31_10h04.10.244,meta_vpr,2022.2.5,59.98512636866012,
None,None,../recordings/250/vid.mp4,None,None,None,None,None,None,0,3,3,3,,,,,18.275654792785645,18.759334802627563,18.776423931121826,19.30592179298401,19.30592179298401,21.304107904434204,21.304107904434204,n,1.6248540878295898,make up a name,001,2023-03-31_10h04.10.244,meta_vpr,2022.2.5,59.98512636866012,
None,None,../recordings/300/vid.mp4,None,None,None,None,None,None,0,4,4,4,,,,,22.946044921875,23.429049015045166,23.445957899093628,23.99164390563965,23.99164390563965,25.972656965255737,25.972656965255737,y,1.148164987564087,make up a name,001,2023-03-31_10h04.10.244,meta_vpr,2022.2.5,59.98512636866012,
None,None,../recordings/350/vid.mp4,None,None,None,None,None,None,0,5,5,5,,,,,27.149235010147095,27.647225856781006,27.663820028305054,28.196085929870605,28.196085929870605,30.177815914154053,30.177815914154053,n,0.8631591796875,make up a name,001,2023-03-31_10h04.10.244,meta_vpr,2022.2.5,59.98512636866012,
None,None,../recordings/400/vid.mp4,None,None,None,None,None,None,0,6,6,6,,,,,31.0668888092041,31.55053997039795,31.56810998916626,32.097078800201416,32.097078800201416,34.09614300727844,34.09614300727844,y,1.1691768169403076,make up a name,001,2023-03-31_10h04.10.244,meta_vpr,2022.2.5,59.98512636866012,
None,None,../recordings/450/vid.mp4,None,None,None,None,None,None,0,7,7,7,,,,,35.287715911865234,35.78710889816284,35.78710889816284,36.34636998176575,36.34636998176575,38.296358823776245,38.296358823776245,n,2.0886588096618652,make up a name,001,2023-03-31_10h04.10.244,meta_vpr,2022.2.5,59.98512636866012,
,,,,,,,,,,,,,,,,,40.407872915267944,40.89194393157959,40.90893483161926,,,,,,,,,,,,,
